REF_DATE,GEO,DGUID,Categories,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1992-01,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,128,NA,NA,NA,0
1992-01,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,3476,NA,NA,NA,0
1992-04,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,96.23,NA,NA,NA,2
1992-04,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,89.18,NA,NA,NA,2
1992-04,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,412631,NA,NA,NA,0
1992-04,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,98774,NA,NA,NA,0
1992-04,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,30216,NA,NA,NA,0
1992-04,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,283641,NA,NA,NA,0
1992-04,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,6122,NA,NA,NA,0
1992-04,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,606,NA,NA,NA,0
1992-04,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,29,NA,NA,NA,0
1992-04,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,5487,NA,NA,NA,0
1992-07,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,94.43,NA,NA,NA,2
1992-07,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,87.51,NA,NA,NA,2
1992-07,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,417687,NA,NA,NA,0
1992-07,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,99021,NA,NA,NA,0
1992-07,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,30633,NA,NA,NA,0
1992-07,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,288033,NA,NA,NA,0
1992-07,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,5434,NA,NA,NA,0
1992-07,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,417,NA,NA,NA,0
1992-07,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,601,NA,NA,NA,0
1992-07,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,4416,NA,NA,NA,0
1992-10,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,97.17,NA,NA,NA,2
1992-10,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,90.15,NA,NA,NA,2
1992-10,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,423191,NA,NA,NA,0
1992-10,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,98878,NA,NA,NA,0
1992-10,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,30572,NA,NA,NA,0
1992-10,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,293741,NA,NA,NA,0
1992-10,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,5894,NA,NA,NA,0
1992-10,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,30,NA,NA,NA,0
1992-10,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,134,NA,NA,NA,0
1992-10,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,5730,NA,NA,NA,0
1993-01,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,97.38,NA,NA,NA,2
1993-01,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,90.54,NA,NA,NA,2
1993-01,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,427755,NA,NA,NA,0
1993-01,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,100049,NA,NA,NA,0
1993-01,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,30026,NA,NA,NA,0
1993-01,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,297680,NA,NA,NA,0
1993-01,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,4962,NA,NA,NA,0
1993-01,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,1339,NA,NA,NA,0
1993-01,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,-338,NA,NA,NA,0
1993-01,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,3961,NA,NA,NA,0
1993-04,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,95.11,NA,NA,NA,2
1993-04,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,88.5,NA,NA,NA,2
1993-04,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,436142,NA,NA,NA,0
1993-04,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,101066,NA,NA,NA,0
1993-04,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,30313,NA,NA,NA,0
1993-04,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,304763,NA,NA,NA,0
1993-04,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,8785,NA,NA,NA,0
1993-04,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,1191,NA,NA,NA,0
1993-04,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,490,NA,NA,NA,0
1993-04,Canada,2016A000011124,Mortgages - financial flow,Dollars,81,millions,6,v95701118,1.1,7104,NA,NA,NA,0
1993-07,Canada,2016A000011124,Credit market debt to disposable income,Ratio,271,units,0,v1038036698,1.11,98.92,NA,NA,NA,2
1993-07,Canada,2016A000011124,Consumer credit and mortgage liabilities to disposable income,Ratio,271,units,0,v1038036699,1.12,92,NA,NA,NA,2
1993-07,Canada,2016A000011124,Credit market debt - national balance sheet,Dollars,81,millions,6,v1038036700,1.13,439891,NA,NA,NA,0
1993-07,Canada,2016A000011124,Consumer credit - national balance sheet,Dollars,81,millions,6,v1038036701,1.14,102116,NA,NA,NA,0
1993-07,Canada,2016A000011124,Non-mortgage loans - national balance sheet,Dollars,81,millions,6,v1038036702,1.15,30771,NA,NA,NA,0
1993-07,Canada,2016A000011124,Mortgages - national balance sheet,Dollars,81,millions,6,v1038036703,1.16,307004,NA,NA,NA,0
1993-07,Canada,2016A000011124,Credit market debt - financial flow,Dollars,81,millions,6,v95701115,1.7,4120,NA,NA,NA,0
1993-07,Canada,2016A000011124,Consumer credit - financial flow,Dollars,81,millions,6,v95701116,1.8,1223,NA,NA,NA,0
1993-07,Canada,2016A000011124,Non-mortgage loans - financial flow,Dollars,81,millions,6,v95701117,1.9,635,NA,NA,NA,0
